t_ms,step,beam,score,prefix,next_token_id,next_token_str,new_seq
1761104681659,1425,1,,,-1,,
1761104681659,1425,2,,,-1,,
1761104681690,1426,0,,,-1,,
1761104681690,1426,1,,,-1,,
1761104681690,1426,2,,,-1,,
1761104681722,1427,0,,,-1,,
1761104681722,1427,1,,,-1,,
1761104681722,1427,2,,,-1,,
1761104681753,1428,0,,,-1,,
1761104681753,1428,1,,,-1,,
1761104681753,1428,2,,,-1,,
1761104681785,1429,0,,,-1,,
1761104681785,1429,1,,,-1,,
1761104681785,1429,2,,,-1,,
1761104681816,1430,0,,,-1,,
1761104681816,1430,1,,,-1,,
1761104681816,1430,2,,,-1,,
1761104681849,1431,0,,,-1,,
1761104681849,1431,1,,,-1,,
1761104681849,1431,2,,,-1,,
1761104681884,1432,0,,,-1,,
1761104681884,1432,1,,,-1,,
1761104681884,1432,2,,,-1,,
1761104681916,1433,0,,,-1,,
1761104681916,1433,1,,,-1,,
1761104681916,1433,2,,,-1,,
1761104681948,1434,0,,,-1,,
1761104681948,1434,1,,,-1,,
1761104681948,1434,2,,,-1,,
1761104681979,1435,0,,,-1,,
1761104681979,1435,1,,,-1,,
1761104681979,1435,2,,,-1,,
1761104682011,1436,0,,,-1,,
1761104682011,1436,1,,,-1,,
1761104682011,1436,2,,,-1,,
1761104682042,1437,0,,,-1,,
1761104682042,1437,1,,,-1,,
1761104682042,1437,2,,,-1,,
1761104682074,1438,0,,,-1,,
1761104682074,1438,1,,,-1,,
1761104682074,1438,2,,,-1,,
1761104682106,1439,0,,,-1,,
1761104682106,1439,1,,,-1,,
1761104682106,1439,2,,,-1,,
1761104682138,1440,0,,,-1,,
1761104682138,1440,1,,,-1,,
1761104682138,1440,2,,,-1,,
1761104682169,1441,0,,,-1,,
1761104682169,1441,1,,,-1,,
1761104682169,1441,2,,,-1,,
1761104682201,1442,0,,,-1,,
1761104682201,1442,1,,,-1,,
1761104682201,1442,2,,,-1,,
1761104682232,1443,0,,,-1,,
1761104682232,1443,1,,,-1,,
1761104682232,1443,2,,,-1,,
1761104682264,1444,0,,,-1,,
1761104682264,1444,1,,,-1,,
1761104682264,1444,2,,,-1,,
1761104682296,1445,0,,,-1,,
1761104682296,1445,1,,,-1,,
1761104682296,1445,2,,,-1,,
1761104682329,1446,0,,,-1,,
1761104682329,1446,1,,,-1,,
1761104682329,1446,2,,,-1,,
1761104682361,1447,0,,,-1,,
1761104682361,1447,1,,,-1,,
1761104682361,1447,2,,,-1,,
1761104682393,1448,0,,,-1,,
1761104682393,1448,1,,,-1,,
1761104682393,1448,2,,,-1,,
1761104682425,1449,0,,,-1,,
1761104682425,1449,1,,,-1,,
1761104682425,1449,2,,,-1,,
1761104682457,1450,0,,,-1,,
1761104682457,1450,1,,,-1,,
1761104682457,1450,2,,,-1,,
1761104682489,1451,0,,,-1,,
1761104682489,1451,1,,,-1,,
1761104682489,1451,2,,,-1,,
1761104682520,1452,0,,,-1,,
1761104682520,1452,1,,,-1,,
1761104682520,1452,2,,,-1,,
1761104682552,1453,0,,,-1,,
1761104682552,1453,1,,,-1,,
1761104682552,1453,2,,,-1,,
1761104682584,1454,0,,,-1,,
1761104682584,1454,1,,,-1,,
1761104682584,1454,2,,,-1,,
1761104682615,1455,0,,,-1,,
1761104682615,1455,1,,,-1,,
1761104682615,1455,2,,,-1,,
1761104682647,1456,0,,,-1,,
1761104682647,1456,1,,,-1,,
1761104682647,1456,2,,,-1,,
1761104682679,1457,0,,,-1,,
1761104682679,1457,1,,,-1,,
1761104682679,1457,2,,,-1,,
1761104682711,1458,0,,,-1,,
1761104682711,1458,1,,,-1,,
1761104682711,1458,2,,,-1,,
1761104682742,1459,0,,,-1,,
1761104682742,1459,1,,,-1,,
1761104682742,1459,2,,,-1,,
1761104682774,1460,0,,,-1,,
1761104682774,1460,1,,,-1,,
1761104682774,1460,2,,,-1,,
1761104682806,1461,0,,,-1,,
1761104682806,1461,1,,,-1,,
1761104682806,1461,2,,,-1,,
1761104682838,1462,0,,,-1,,
1761104682838,1462,1,,,-1,,
1761104682838,1462,2,,,-1,,
1761104682870,1463,0,,,-1,,
1761104682870,1463,1,,,-1,,
1761104682870,1463,2,,,-1,,
1761104682901,1464,0,,,-1,,
1761104682901,1464,1,,,-1,,
1761104682901,1464,2,,,-1,,
1761104682933,1465,0,,,-1,,
1761104682933,1465,1,,,-1,,
1761104682933,1465,2,,,-1,,
1761104682965,1466,0,,,-1,,
1761104682965,1466,1,,,-1,,
1761104682965,1466,2,,,-1,,
1761104682997,1467,0,,,-1,,
1761104682997,1467,1,,,-1,,
1761104682997,1467,2,,,-1,,
1761104683029,1468,0,,,-1,,
1761104683029,1468,1,,,-1,,
1761104683029,1468,2,,,-1,,
1761104683061,1469,0,,,-1,,
1761104683061,1469,1,,,-1,,
1761104683061,1469,2,,,-1,,
1761104683093,1470,0,,,-1,,
1761104683093,1470,1,,,-1,,
1761104683093,1470,2,,,-1,,
1761104683125,1471,0,,,-1,,
1761104683125,1471,1,,,-1,,
1761104683125,1471,2,,,-1,,
1761104683157,1472,0,,,-1,,
1761104683157,1472,1,,,-1,,
1761104683157,1472,2,,,-1,,
1761104683189,1473,0,,,-1,,
1761104683189,1473,1,,,-1,,
1761104683189,1473,2,,,-1,,
1761104683221,1474,0,,,-1,,
1761104683221,1474,1,,,-1,,
1761104683221,1474,2,,,-1,,
1761104683253,1475,0,,,-1,,
1761104683253,1475,1,,,-1,,
1761104683253,1475,2,,,-1,,
1761104683285,1476,0,,,-1,,
1761104683285,1476,1,,,-1,,
1761104683285,1476,2,,,-1,,
1761104683317,1477,0,,,-1,,
1761104683317,1477,1,,,-1,,
1761104683317,1477,2,,,-1,,
1761104683350,1478,0,,,-1,,
1761104683350,1478,1,,,-1,,
1761104683350,1478,2,,,-1,,
1761104683382,1479,0,,,-1,,
1761104683382,1479,1,,,-1,,
1761104683382,1479,2,,,-1,,
1761104683414,1480,0,,,-1,,
1761104683414,1480,1,,,-1,,
1761104683414,1480,2,,,-1,,
1761104683446,1481,0,,,-1,,
1761104683446,1481,1,,,-1,,
1761104683446,1481,2,,,-1,,
1761104683478,1482,0,,,-1,,
1761104683478,1482,1,,,-1,,
1761104683478,1482,2,,,-1,,
1761104683510,1483,0,,,-1,,
1761104683510,1483,1,,,-1,,
1761104683510,1483,2,,,-1,,
1761104683542,1484,0,,,-1,,
1761104683542,1484,1,,,-1,,
1761104683542,1484,2,,,-1,,
1761104683574,1485,0,,,-1,,
1761104683574,1485,1,,,-1,,
1761104683574,1485,2,,,-1,,
1761104683606,1486,0,,,-1,,
1761104683606,1486,1,,,-1,,
1761104683606,1486,2,,,-1,,
1761104683638,1487,0,,,-1,,
1761104683638,1487,1,,,-1,,
1761104683638,1487,2,,,-1,,
1761104683670,1488,0,,,-1,,
1761104683670,1488,1,,,-1,,
1761104683670,1488,2,,,-1,,
1761104683703,1489,0,,,-1,,
1761104683703,1489,1,,,-1,,
1761104683703,1489,2,,,-1,,
1761104683736,1490,0,,,-1,,
1761104683736,1490,1,,,-1,,
1761104683736,1490,2,,,-1,,
1761104683769,1491,0,,,-1,,
1761104683769,1491,1,,,-1,,
1761104683769,1491,2,,,-1,,
1761104683802,1492,0,,,-1,,
1761104683802,1492,1,,,-1,,
1761104683802,1492,2,,,-1,,
1761104683836,1493,0,,,-1,,
1761104683836,1493,1,,,-1,,
1761104683836,1493,2,,,-1,,
1761104683869,1494,0,,,-1,,
1761104683869,1494,1,,,-1,,
1761104683869,1494,2,,,-1,,
1761104683905,1495,0,,,-1,,
1761104683905,1495,1,,,-1,,
1761104683905,1495,2,,,-1,,
1761104683940,1496,0,,,-1,,
1761104683940,1496,1,,,-1,,
1761104683940,1496,2,,,-1,,
1761104683973,1497,0,,,-1,,
1761104683973,1497,1,,,-1,,
1761104683973,1497,2,,,-1,,
1761104684006,1498,0,,,-1,,
1761104684006,1498,1,,,-1,,
1761104684006,1498,2,,,-1,,
1761104684039,1499,0,,,-1,,
1761104684039,1499,1,,,-1,,
1761104684039,1499,2,,,-1,,
1761104684072,1500,0,,,-1,,
1761104684072,1500,1,,,-1,,
1761104684072,1500,2,,,-1,,
1761104684105,1501,0,,,-1,,
1761104684105,1501,1,,,-1,,
1761104684105,1501,2,,,-1,,
1761104684138,1502,0,,,-1,,
1761104684138,1502,1,,,-1,,
1761104684138,1502,2,,,-1,,
1761104684171,1503,0,,,-1,,
1761104684171,1503,1,,,-1,,
1761104684171,1503,2,,,-1,,
1761104684204,1504,0,,,-1,,
1761104684204,1504,1,,,-1,,
1761104684204,1504,2,,,-1,,
1761104684238,1505,0,,,-1,,
1761104684238,1505,1,,,-1,,
1761104684238,1505,2,,,-1,,
1761104684271,1506,0,,,-1,,
1761104684271,1506,1,,,-1,,
1761104684271,1506,2,,,-1,,
1761104684304,1507,0,,,-1,,
1761104684304,1507,1,,,-1,,
1761104684304,1507,2,,,-1,,
1761104684337,1508,0,,,-1,,
1761104684337,1508,1,,,-1,,
1761104684337,1508,2,,,-1,,
1761104684371,1509,0,,,-1,,
1761104684371,1509,1,,,-1,,
1761104684371,1509,2,,,-1,,
1761104684405,1510,0,,,-1,,
1761104684405,1510,1,,,-1,,
1761104684405,1510,2,,,-1,,
1761104684439,1511,0,,,-1,,
1761104684439,1511,1,,,-1,,
1761104684439,1511,2,,,-1,,
1761104684472,1512,0,,,-1,,
1761104684472,1512,1,,,-1,,
1761104684472,1512,2,,,-1,,
1761104684505,1513,0,,,-1,,
1761104684505,1513,1,,,-1,,
1761104684505,1513,2,,,-1,,
1761104684539,1514,0,,,-1,,
1761104684539,1514,1,,,-1,,
1761104684539,1514,2,,,-1,,
1761104684572,1515,0,,,-1,,
1761104684572,1515,1,,,-1,,
1761104684572,1515,2,,,-1,,
1761104684605,1516,0,,,-1,,
1761104684605,1516,1,,,-1,,
1761104684605,1516,2,,,-1,,
1761104684638,1517,0,,,-1,,
1761104684638,1517,1,,,-1,,
1761104684638,1517,2,,,-1,,
1761104684672,1518,0,,,-1,,
1761104684672,1518,1,,,-1,,
1761104684672,1518,2,,,-1,,
1761104684705,1519,0,,,-1,,
1761104684705,1519,1,,,-1,,
1761104684705,1519,2,,,-1,,
1761104684738,1520,0,,,-1,,
1761104684738,1520,1,,,-1,,
1761104684738,1520,2,,,-1,,
1761104684771,1521,0,,,-1,,
1761104684771,1521,1,,,-1,,
1761104684771,1521,2,,,-1,,
1761104684805,1522,0,,,-1,,
1761104684805,1522,1,,,-1,,
1761104684805,1522,2,,,-1,,
1761104686638,1523,0,,,-1,,
1761104686638,1523,1,,,-1,,
1761104686638,1523,2,,,-1,,
1761104686667,1524,0,,,-1,,
1761104686667,1524,1,,,-1,,
1761104686667,1524,2,,,-1,,
1761104686695,1525,0,,,-1,,
1761104686695,1525,1,,,-1,,
1761104686695,1525,2,,,-1,,
1761104686724,1526,0,,,-1,,
1761104686724,1526,1,,,-1,,
1761104686724,1526,2,,,-1,,
1761104686752,1527,0,,,-1,,
1761104686753,1527,1,,,-1,,
1761104686753,1527,2,,,-1,,
1761104686781,1528,0,,,-1,,
